o&d_pair
JFK-OAK
LGA-OAK
LGA-SFO
LGA-SJC
MDW-OAK
MDW-SJC
ORD-OAK
BWI-SJC
DCA-OAK
BOS-OAK
BOS-SJC
BUR-MDW
BUR-ORD
MDW-ORD
BUR-SJC
BUR-EWR
BUR-JFK
